EmployeeID,Gender,Age,IndigenousIdentity,DisabilityStatus,Role,WARegion,EmploymentType,Status,CommencementDate,SeparationDate,FTE
ED100000,Female,64,No,No,Teacher,South Metro,Permanent Full-Time,Active,2021-12-25,,1.0
ED100001,Female,43,No,No,School Administrator,South Metro,Permanent Full-Time,Active,2025-06-13,,1.0
ED100002,Female,34,No,No,Education Assistant,Wheatbelt,Permanent Full-Time,Terminated,2021-08-08,2023-05-28,1.0
ED100003,Female,45,No,No,Lead Teacher,North Metro,Fixed Term,Active,2007-07-06,,1.0
ED100004,Female,37,No,No,Teacher,Wheatbelt,Permanent Full-Time,Active,2024-01-20,,1.0
ED100005,Male,36,No,No,Teacher,North Metro,Permanent Full-Time,Active,2011-10-03,,1.0
ED100006,Female,49,No,No,Teacher,Mid West,Permanent Full-Time,Active,2015-11-06,,1.0
ED100007,Female,24,No,No,Education Assistant,Wheatbelt,Permanent Full-Time,Terminated,2023-06-02,2024-01-21,1.0
ED100008,Male,26,No,No,Lead Teacher,North Metro,Fixed Term,Active,2025-02-24,,1.0
ED100009,Male,44,No,No,Deputy Principal,South Metro,Permanent Full-Time,Active,2020-01-23,,1.0
ED100010,Male,43,No,No,Teacher,North Metro,Permanent Full-Time,Active,2011-12-28,,1.0
ED100011,Male,48,No,No,School Administrator,Kimberley,Permanent Part-Time,Active,2023-03-26,,0.6
ED100012,Male,66,No,No,Education Assistant,South Metro,Fixed Term,Terminated,2007-06-25,2023-01-25,1.0
ED100013,Female,45,No,No,Teacher,South Metro,Fixed Term,Active,2019-12-30,,1.0
ED100014,Female,51,No,No,Teacher,North Metro,Permanent Part-Time,Active,2017-06-27,,0.6
ED100015,Female,32,No,No,Teacher,North Metro,Permanent Full-Time,Active,2023-03-23,,1.0
ED100016,Female,53,No,No,Teacher,North Metro,Permanent Full-Time,Active,1998-03-29,,1.0
ED100017,Female,37,No,No,Teacher,North Metro,Casual,Terminated,2015-04-11,2024-07-31,0.2
ED100018,Female,44,No,No,Teacher,South Metro,Casual,Active,2020-04-14,,0.2
ED100019,Female,42,Yes,No,Teacher,Wheatbelt,Permanent Part-Time,Active,2011-04-29,,0.6
ED100020,Female,56,No,No,Lead Teacher,Goldfields,Permanent Part-Time,Active,2004-11-13,,0.6
